ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_short_name	vfdb_description	vfdb_species	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
gene-CbK_gp001	63	7368	hypothetical protein	unknown function	7368	125	0.928	2.426e-37	7368	144.698944	1.65476968273839e-42	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp002	87	16102	hypothetical protein	unknown function	16102	179	0.967	8.6e-56	16102	169.841949	2.5542481095532816e-50	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp003	34	11446	hypothetical protein	unknown function	11446	71	0.962	2.967e-19	11446	86.13546	2.356776447497444e-24	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp004	61	7291	hypothetical protein	unknown function	7291	108	0.822	2.635e-31	7291	140.445068	3.619280078368855e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp005	267	8188	hypothetical protein	unknown function	8188	445	0.811	2.457e-144	8188	505.675354	6.9062972011375475e-152	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp006	69	6979	hypothetical protein	unknown function	6979	124	0.91	4.81e-37	6979	155.126541	8.622772152131351e-46	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp007	93	8778	hypothetical protein	unknown function	8778	178	0.906	2.987e-55	8778	190.373428	9.417828084541483e-57	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp008	350	7247	hypothetical protein	unknown function	7247	489	0.696	4.372e-158	7247	588.378113	1.1481038075548211e-176	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp009	99	9265	hypothetical protein	unknown function	9265	207	0.98	3.7910000000000002e-65	9265	224.313339	3.3344979036426324e-67	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp010	122	8925	hypothetical protein	unknown function	8925	190	0.875	4.828e-59	8925	209.512909	1.129512372283355e-62	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp011	139	8827	hypothetical protein	unknown function	8827	281	0.955	4.262e-90	8827	310.969055	2.1417704237272e-93	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp012	90	7462	hypothetical protein	unknown function	7462	179	0.934	1.878e-55	7462	202.084625	2.1405609183227632e-60	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp013	94	6524	hypothetical protein	unknown function	6524	175	0.891	3.9389999999999996e-54	6524	195.968872	1.38498207499838e-58	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp014	60	12553	hypothetical protein	unknown function	12553	118	0.919	6.254e-35	12553	142.851547	4.991078695062882e-42	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp015	60	8132	hypothetical protein	unknown function	8132	114	0.894	1.0849999999999999e-33	8132	135.074158	1.6527162965060932e-39	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp016	196	7318	hypothetical protein	unknown function	7318	326	0.805	2.0580000000000002e-104	7318	377.25528	3.0407996393769087e-113	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp017	192	8002	hypothetical protein	unknown function	8002	317	0.928	4.291e-102	8002	340.724915	2.1433861203310825e-102	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp018	148	6738	hypothetical protein	unknown function	6738	281	0.902	9e-90	6738	327.363525	1.8408744460242823e-98	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp019	130	7192	hypothetical protein	unknown function	7192	237	0.868	8.704e-75	7192	268.293915	2.1434595856809657e-80	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp020	64	7323	hypothetical protein	unknown function	7323	109	0.813	5.972e-32	7323	141.888519	1.1231456389308427e-41	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp021	248	12532	hypothetical protein	unknown function	12532	437	0.848	7.651000000000001e-142	12532	513.595886	1.6521990779114783e-154	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp022	54	14051	hypothetical protein	unknown function	14051	121	1.0	1.053e-35	14051	134.26181	2.2293946223101044e-39	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp023	224	12122	hypothetical protein	unknown function	12122	401	0.86	5.2649999999999995e-130	12122	451.857666	6.259970261315462e-136	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp024	90	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp025	178	17784	hypothetical protein	unknown function	17784	364	0.967	3.2979999999999998e-118	17784	405.732452	4.0067698476014154e-122	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp026	123	12436	hypothetical protein	unknown function	12436	240	0.924	3.621e-76	12436	253.033813	8.384472208004582e-76	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp027	141	8937	hypothetical protein	unknown function	8937	234	0.802	9.769e-74	8937	210.105148	2.5159796303880672e-62	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp028	100	419	hypothetical protein	unknown function	419	80	0.441	2.157e-21	419	106.44455	3.613931953786867e-30	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp029	89	12763	hypothetical protein	unknown function	12763	179	0.947	9.495e-56	12763	202.583923	1.3644475390764522e-60	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp030	97	13409	hypothetical protein	unknown function	13409	224	1.0	4.511e-71	13409	223.941116	2.71441910837855e-67	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp031	133	13011	hypothetical protein	unknown function	13011	259	0.924	1.114e-82	13011	271.174133	2.844364564140664e-81	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp032	221	11803	hypothetical protein	unknown function	11803	381	0.832	3.218e-123	11803	438.282227	1.0532475021449993e-131	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp033	203	12840	hypothetical protein	unknown function	12840	384	0.902	1.524e-124	12840	432.606995	4.948964385400773e-130	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
gene-CbK_gp034	189	13620	hypothetical protein	unknown function	13620	357	0.899	3.059e-115	13620	430.412933	1.1759783172308213e-129	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
