# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13084823_sorted.bam" "SRR13084834_sorted.bam" "SRR13084828_sorted.bam" "SRR13084824_sorted.bam" "SRR13084817_sorted.bam" "SRR13084830_sorted.bam" "SRR13084837_sorted.bam" "SRR13084827_sorted.bam" "SRR13084821_sorted.bam" "SRR13084833_sorted.bam" "SRR13084822_sorted.bam" "SRR13084820_sorted.bam" "SRR13084838_sorted.bam" "SRR13084835_sorted.bam" "SRR13084818_sorted.bam" "SRR13084825_sorted.bam" "SRR13084839_sorted.bam" "SRR13084831_sorted.bam" "SRR13084832_sorted.bam" "SRR13084819_sorted.bam" "SRR13084840_sorted.bam" "SRR13084836_sorted.bam" "SRR13084826_sorted.bam" "SRR13084829_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13084823_sorted.bam	SRR13084834_sorted.bam	SRR13084828_sorted.bam	SRR13084824_sorted.bam	SRR13084817_sorted.bam	SRR13084830_sorted.bam	SRR13084837_sorted.bam	SRR13084827_sorted.bam	SRR13084821_sorted.bam	SRR13084833_sorted.bam	SRR13084822_sorted.bam	SRR13084820_sorted.bam	SRR13084838_sorted.bam	SRR13084835_sorted.bam	SRR13084818_sorted.bam	SRR13084825_sorted.bam	SRR13084839_sorted.bam	SRR13084831_sorted.bam	SRR13084832_sorted.bam	SRR13084819_sorted.bam	SRR13084840_sorted.bam	SRR13084836_sorted.bam	SRR13084826_sorted.bam	SRR13084829_sorted.bam
gene-b0001	U00096.3	190	255	+	66	9522	2423	2461	2605	7394	2999	2705	1359	1598	1053	2124	1694	6911	7241	2620	1745	1839	1796	6371	1368	1734	8060	2773	3886
gene-b0002	U00096.3	337	2799	+	2463	18008	3312	3302	14282	16256	6816	6725	3087	4595	3434	2615	3323	4720	12873	15776	8589	4410	6259	4401	4889	6235	8665	5768	11868
gene-b0003	U00096.3	2801	3733	+	933	10024	1864	1767	8294	9731	4314	4726	1566	2367	1826	1616	2002	2612	7419	9381	5478	2301	3963	2367	3359	3293	4811	3443	7219
gene-b0004	U00096.3	3734	5020	+	1287	12019	2397	2300	10302	11487	5674	6915	1766	2696	2034	1925	2477	3244	9177	11648	7788	2744	5661	2819	4481	4036	6181	4639	8808
gene-b0005	U00096.3	5234	5530	+	297	364	95	55	342	298	342	349	67	113	107	65	149	298	324	508	353	136	280	253	211	138	470	250	278
gene-b0006	U00096.3	5683	6459	-	777	1330	238	291	792	1061	697	668	316	428	343	228	376	577	1033	1006	638	379	661	595	443	414	706	629	1123
gene-b0007	U00096.3	6529	7959	-	1431	383	99	119	218	344	170	165	83	133	114	79	89	173	317	263	147	75	138	175	109	183	248	154	250
gene-b0008	U00096.3	8238	9191	+	954	7994	1707	1450	4291	6378	5156	5171	1274	1883	1363	1535	1852	3035	6292	4773	3200	1903	3423	2738	3064	2314	4410	4118	6052
gene-b0009	U00096.3	9306	9893	+	588	1381	297	242	1176	1204	852	1038	346	499	366	206	554	874	1208	1133	745	404	876	753	675	328	934	998	1215
gene-b0010	U00096.3	9928	10494	-	567	541	419	331	654	548	804	1277	354	641	529	313	470	915	647	804	738	583	957	773	654	567	1072	755	592
