hit_id	replicon	hit_pos	hit_sequence_length	gene_name	i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
gene-b0011	U00096.3	11	237	JukAB__JukA	2e-92	307.5	0.911	0.996	1	236
gene-b0215	U00096.3	213	243	DEDDh_I_II_III_IV_V_VI_1	6.1e-39	131.7	0.994	0.687	9	175
gene-b0248	U00096.3	242	152	ardb	7.3e-15	52.7	0.865	0.789	22	141
gene-b0248	U00096.3	242	152	acric11	8.5e-50	166.2	0.957	0.888	18	152
gene-b0248	U00096.3	242	152	klca	8.300000000000001e-63	208.8	0.828	0.941	10	152
gene-b0250	U00096.3	244	155	SDIC4__SDIC4B	1.2999999999999999e-73	244.2	0.955	0.961	6	154
gene-b0251	U00096.3	245	147	WYL_I_II_III_IV_V_VI_1	1.3e-13	49.1	0.482	0.986	2	146
gene-b0258	U00096.3	250	381	RT_I_II_III_IV_V_VI_1	6.2e-62	207.1	0.71	0.57	26	242
gene-b0397	U00096.3	386	1048	Lamassu-Fam__LmuB_SMC_Mrr	3.4e-07	27.1	0.411	0.25	383	644
gene-b0397	U00096.3	386	1048	Lamassu-Fam__LmuB_SMC_Cap4_nuclease_II	1.6e-18	65.0	0.741	0.478	1	501
gene-b0397	U00096.3	386	1048	Lamassu-Fam__LmuB_SMC_Hydrolase_protease	3.5e-24	82.9	0.817	0.838	1	878
gene-b0439	U00096.3	428	784	Dodola__DolB	2.7e-11	41.1	0.659	0.328	309	565
gene-b0444	U00096.3	433	231	Dpd__QueC	7.3e-48	160.7	0.945	0.918	2	213
gene-b0473	U00096.3	462	624	RM_Type_II__Type_II_REase06	8e-10	36.8	0.773	0.784	21	509
gene-b0789	U00096.3	758	413	Mokosh_type_I__MkoB_C	6.7e-10	35.8	0.46	0.806	11	343
gene-b0789	U00096.3	758	413	DISARM__drmC	1.8e-14	51.9	0.638	0.387	183	342
gene-b0826	U00096.3	797	249	CBASS__AG_E1_ThiF	6.8000000000000006e-65	216.8	0.992	0.936	12	244
gene-b0882	U00096.3	854	758	Dodola__DolB	8.000000000000001e-21	72.5	0.491	0.255	426	618
gene-b0924	U00096.3	895	1486	Wadjet__JetC_III	8e-13	44.7	0.452	0.445	774	1434
gene-b0924	U00096.3	895	1486	Wadjet__JetC_I	3e-13	46.5	0.402	0.301	990	1436
gene-b0962	U00096.3	933	684	Gabija__GajB_3	1.1e-16	58.9	0.596	0.351	426	665
gene-b0962	U00096.3	933	684	Gabija__GajB_2	9.599999999999999e-67	223.8	0.782	0.737	163	666
gene-b0982	U00096.3	953	148	Veles__VlsC2	1.0999999999999999e-53	179.3	0.96	0.939	9	147
gene-b0982	U00096.3	953	148	Veles__VlsC1	3.6e-55	184.1	0.98	0.966	5	147
gene-b1045	U00096.3	1014	177	DarTG__DarG	1.5e-75	251.9	0.744	0.983	2	175
gene-b1046	U00096.3	1015	473	DISARM__drmC	2.2e-16	58.1	0.445	0.277	285	415
gene-b1100	U00096.3	1068	265	Gao_Qat__QatD	3.2e-19	67.2	0.953	0.951	3	254
gene-b1139	U00096.3	1108	297	Lit__Lit	3.4e-82	273.9	0.962	0.98	3	293
gene-b1159	U00096.3	1126	277	RM_Type_IV__Type_IV_05	6.7e-27	93.0	0.688	0.791	50	268
gene-b1207	U00096.3	1178	315	narp1_adps	4.5e-69	230.8	0.892	0.905	28	312
gene-b1249	U00096.3	1221	486	DISARM__drmC	5e-15	53.7	0.551	0.284	306	443
gene-b1348	U00096.3	1331	64	lar	1.6e-25	86.4	0.835	0.969	1	62
gene-b1351	U00096.3	1334	91	racc	6e-55	181.2	1.0	1.0	1	91
gene-b1432	U00096.3	1412	402	cas12f2_V-F_1	2.6e-41	139.7	0.545	0.699	96	376
gene-b1652	U00096.3	1638	215	DEDDh_I_II_III_IV_V_VI_1	2.2999999999999998e-23	81.1	0.994	0.814	20	194
gene-b1653	U00096.3	1639	1538	Shango__SngC	9.900000000000001e-69	230.6	0.721	0.374	40	614
gene-b1680	U00096.3	1666	406	Dnd__DndA	1.9e-32	110.6	0.589	0.549	25	247
gene-b1808	U00096.3	1795	636	csf4_IV-A_1	9.4e-56	187.6	0.904	0.921	16	601
gene-b1844	U00096.3	1833	220	DEDDh_I_II_III_IV_V_VI_1	8.1e-31	105.3	0.988	0.655	4	147
gene-b1889	U00096.3	1881	308	Zorya__ZorB	4.6e-09	33.9	0.808	0.795	25	269
gene-b1961	U00096.3	1946	472	RM_Type_II__Type_II_MTases_FAM_15	1.6e-14	51.6	0.501	0.424	90	289
gene-b1961	U00096.3	1946	472	RM_Type_II__Type_II_MTases_FAM_16	1.6e-17	61.5	0.521	0.443	87	295
gene-b1961	U00096.3	1946	472	RM_Type_II__Type_II_MTases_FAM_21	4.8e-19	66.4	0.401	0.428	90	291
gene-b1961	U00096.3	1946	472	RM_Type_II__Type_II_MTases_FAM_22	5.1e-20	69.8	0.459	0.432	88	291
gene-b1961	U00096.3	1946	472	RM_Type_II__Type_II_MTases_FAM_0	2.3e-40	136.9	0.503	0.445	86	295
gene-b1961	U00096.3	1946	472	Druantia_II__DruM	1.2e-56	190.5	0.85	0.792	86	459
gene-b1961	U00096.3	1946	472	DISARM_2__drmMII	5.9e-60	201.2	0.968	0.784	87	456
gene-b1961	U00096.3	1946	472	RM_Type_II__Type_II_MTases_FAM_2	1.1999999999999999e-118	393.9	0.987	0.79	85	457
gene-b2011	U00096.3	1985	475	DEDDh_I_II_III_IV_V_VI_1	1e-15	56.2	0.981	0.381	13	193
gene-b2061	U00096.3	2036	147	Veles__VlsC2	7.399999999999999e-54	179.8	0.973	0.959	5	145
gene-b2061	U00096.3	2036	147	Veles__VlsC1	1.3000000000000001e-55	185.6	0.98	0.973	1	143
gene-b2099	U00096.3	2071	334	Brig1__ADP_ribosyl	6.8e-23	78.9	0.424	0.91	2	305
gene-b2153	U00096.3	2124	222	Dpd__FolE	2.7999999999999998e-39	132.6	0.978	0.802	41	218
gene-b2184	U00096.3	2156	586	RM__Type_I_REases_FAM_2.einsi_trimmed	5.100000000000001e-31	105.7	0.458	0.625	6	371
gene-b2186	U00096.3	2158	335	DS-1__DS-1A	1.2e-25	88.2	0.697	0.758	33	286
gene-b2253	U00096.3	2222	385	Veles__VlsB1	6.9e-126	418.2	0.984	0.974	8	382
gene-b2253	U00096.3	2222	385	Veles__VlsB2	2.4e-129	429.6	0.951	0.979	5	381
gene-b2336	U00096.3	2306	250	UG4__Fimbrae_573	3.8e-98	325.8	0.948	0.932	12	244
gene-b2399	U00096.3	2367	130	MADS__mad1	3.1e-05	21.8	0.465	0.292	8	45
gene-b2530	U00096.3	2498	404	Dnd__DndA	2.5e-141	468.9	0.971	0.903	5	369
gene-b2592	U00096.3	2562	709	Dodola__DolB	1.5e-23	81.4	0.44	0.251	398	575
gene-b2605	U00096.3	2574	160	Zorya__ZorB	7.6e-07	26.7	0.472	0.675	48	155
gene-b2627	U00096.3	2594	729	Hachiman__HamA_1	2.9e-34	116.8	0.983	0.977	15	726
gene-b2627	U00096.3	2594	729	Hachiman__HamB	3.7e-140	466.9	0.891	0.974	17	726
gene-b2628	U00096.3	2595	538	Lamassu-Fam__LmuA_effector_Cap4_nuclease_II	4.5e-13	48.0	0.917	0.809	8	442
gene-b2628	U00096.3	2595	538	Hachiman__HamA_2	1.1000000000000001e-247	821.1	0.989	0.998	1	537
gene-b2630	U00096.3	2597	357	RnlAB__RnlA	1.9999999999999998e-187	620.3	1.0	1.0	1	357
gene-b2631	U00096.3	2598	123	RnlAB__RnlB	2.9e-45	150.9	0.992	0.984	1	121
gene-b2634	U00096.3	2601	233	WYL_I_II_III_IV_V_VI_4	8.5e-10	36.9	0.436	0.296	129	197
gene-b2634	U00096.3	2601	233	WYL_I_II_III_IV_V_VI_1	1.8e-38	130.7	0.812	0.97	6	231
gene-b2637	U00096.3	2604	155	SDIC4__SDIC4B	1.7e-74	247.1	0.974	0.981	3	154
gene-b2643	U00096.3	2607	152	ardb	6.4e-16	56.1	0.872	0.796	21	141
gene-b2643	U00096.3	2607	152	acric11	7.7e-49	163.1	0.957	0.888	18	152
gene-b2643	U00096.3	2607	152	klca	4.6e-61	203.1	0.828	0.934	11	152
gene-b2754	U00096.3	2703	94	cas2_I_II_III_IV_V_VI_4	2.1e-29	99.3	1.0	0.66	27	88
gene-b2754	U00096.3	2703	94	cas2_I-E_1	4.6e-37	124.0	1.0	0.915	3	88
gene-b2754	U00096.3	2703	94	cas2_I-E_2	7.9e-44	145.7	1.0	0.968	3	93
gene-b2755	U00096.3	2704	305	cas1_I_II_III_IV_V_VI_2	7.3e-54	180.7	0.996	0.751	17	245
gene-b2755	U00096.3	2704	305	cas1_I_II_III_IV_V_VI_8	3.8e-66	221.3	0.976	0.957	13	304
gene-b2755	U00096.3	2704	305	cas1_I-E_1	8.4e-113	373.9	0.996	0.856	12	272
gene-b2756	U00096.3	2705	199	cas6e_I_II_III_IV_V_VI_3	6.1e-41	138.9	0.936	0.955	9	198
gene-b2756	U00096.3	2705	199	cas6e_I_II_III_IV_V_VI_2	3.4e-51	172.2	1.0	0.995	1	198
gene-b2756	U00096.3	2705	199	cas6e_I_II_III_IV_V_VI_1	2.8e-76	254.2	1.0	1.0	1	199
gene-b2757	U00096.3	2706	224	cas5_I-E_2	1.3999999999999999e-39	134.2	0.831	0.808	4	184
gene-b2757	U00096.3	2706	224	cas5_I_9	4.6e-44	148.5	0.896	0.884	5	202
gene-b2757	U00096.3	2706	224	cas5_I-E_13	6.800000000000001e-58	193.4	0.961	0.772	5	177
gene-b2757	U00096.3	2706	224	cas5_I-E_3	7.1e-59	196.6	0.984	0.795	5	182
gene-b2758	U00096.3	2707	363	cas7_I-E_16	6.5e-96	319.8	0.994	0.964	5	354
gene-b2758	U00096.3	2707	363	cas7_I-E_2	2.4e-130	433.1	1.0	0.884	3	323
gene-b2759	U00096.3	2708	160	cse2gr11_I-E_8	1.4e-08	33.2	0.91	0.781	23	147
gene-b2759	U00096.3	2708	160	cse2gr11_I-E_2	4.4e-24	83.3	0.979	0.831	20	152
gene-b2759	U00096.3	2708	160	cse2gr11_I-E_1	1.7e-36	123.9	0.994	0.912	9	154
