Geneid	0_R1	0_R2	5_R1	5_R2	15_R1	15_R2	30_R1	30_R2	60_R1	60_R2	120_R1	120_R2	Entity	Symbol
gene-MSMEI_RS32130	3	6	1	2	1	1	0	0	0	1	0	1	host	gene-MSMEI_RS32130
gene-MSMEI_RS09540	60	47	19	17	1	0	0	3	3	2	2	1	host	gene-MSMEI_RS09540
gene-MSMEI_RS18000	2	4	1	1	0	0	0	0	0	0	0	1	host	gene-MSMEI_RS18000
gene-MSMEI_RS33165	1	4	1	5	0	1	0	1	0	1	0	0	host	gene-MSMEI_RS33165
gene-MSMEI_RS32755	5	18	3	1	0	0	0	1	1	0	1	0	host	gene-MSMEI_RS32755
gene-MSMEI_RS08865	27	44	2	2	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS08865
gene-MSMEI_RS20440	0	2	0	0	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS20440
gene-MSMEI_RS07050	142	267	5	47	2	9	4	13	3	4	2	4	host	mftD
gene-MSMEI_RS17155	24	35	3	11	1	5	1	7	2	5	0	2	host	gene-MSMEI_RS17155
gene-MSMEI_RS31210	2	2	0	1	2	0	0	0	0	0	0	0	host	gene-MSMEI_RS31210
gene-MSMEI_RS32560	21	41	1	12	3	5	0	10	1	3	0	5	host	gene-MSMEI_RS32560
gene-MSMEI_RS06790	7	10	0	3	0	0	0	2	0	0	0	1	host	gene-MSMEI_RS06790
gene-MSMEI_RS29535	9	13	4	10	0	1	0	0	1	1	1	2	host	hsaC
gene-MSMEI_RS07225	0	1	0	4	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS07225
gene-MSMEI_RS28120	0	0	0	1	0	0	0	0	0	0	0	3	host	gene-MSMEI_RS28120
gene-MSMEI_RS19560	2	8	0	2	1	1	0	0	0	0	0	0	host	gene-MSMEI_RS19560
gene-MSMEI_RS03320	260	327	14	20	13	13	1	2	4	0	5	3	host	gene-MSMEI_RS03320
gene-MSMEI_RS32605	0	2	0	1	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS32605
gene-MSMEI_RS00785	0	4	0	2	1	1	1	0	1	0	0	0	host	gene-MSMEI_RS00785
gene-MSMEI_RS06575	24	30	7	21	3	3	1	10	3	1	4	7	host	recC
gene-MSMEI_RS12665	11	13	2	1	1	1	0	3	0	0	3	0	host	gene-MSMEI_RS12665
gene-MSMEI_RS22535	0	0	0	3	2	1	0	0	0	0	0	0	host	gene-MSMEI_RS22535
gene-MSMEI_RS07145	275	379	39	155	31	59	5	25	17	15	9	5	host	rplP
gene-MSMEI_RS09780	4	6	1	1	0	0	0	1	0	0	0	0	host	gene-MSMEI_RS09780
gene-MSMEI_RS00510	12	21	5	20	0	0	0	4	0	3	0	0	host	gene-MSMEI_RS00510
gene-MSMEI_RS10155	1	0	0	3	0	0	0	1	0	0	0	1	host	gene-MSMEI_RS10155
gene-MSMEI_RS23135	2	12	3	10	2	4	4	0	0	0	0	1	host	gene-MSMEI_RS23135
gene-MSMEI_RS28410	6	4	1	3	0	0	0	0	0	0	0	1	host	gene-MSMEI_RS28410
gene-MSMEI_RS27650	2	4	0	0	0	1	0	1	0	0	0	0	host	gene-MSMEI_RS27650
gene-MSMEI_RS09240	11	9	0	11	3	4	0	2	0	0	0	0	host	gene-MSMEI_RS09240
gene-MSMEI_RS30140	37	82	6	20	1	3	1	3	1	0	5	1	host	gene-MSMEI_RS30140
gene-MSMEI_RS14855	20	17	6	23	2	4	3	2	1	2	2	0	host	gene-MSMEI_RS14855
gene-MSMEI_RS00115	12	14	10	24	2	9	0	1	2	2	3	0	host	gene-MSMEI_RS00115
gene-MSMEI_RS18830	0	0	1	4	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS18830
gene-MSMEI_RS09190	2	8	0	3	0	0	0	0	1	0	0	0	host	gene-MSMEI_RS09190
gene-MSMEI_RS20740	26	32	15	20	0	5	3	4	2	0	4	4	host	mraY
gene-MSMEI_RS25020	4	7	2	6	1	2	0	2	0	2	0	0	host	gene-MSMEI_RS25020
gene-MSMEI_RS21360	6	13	2	14	3	1	0	2	0	0	0	0	host	gene-MSMEI_RS21360
gene-MSMEI_RS03825	5	9	3	7	1	4	0	0	0	0	0	0	host	gene-MSMEI_RS03825
gene-MSMEI_RS19500	2	5	2	5	0	3	0	0	0	0	0	0	host	gene-MSMEI_RS19500
gene-MSMEI_RS10730	3	4	6	13	1	5	0	0	0	0	0	1	host	gene-MSMEI_RS10730
gene-MSMEI_RS34965	0	3	0	3	0	0	0	0	1	0	1	0	host	gene-MSMEI_RS34965
gene-MSMEI_RS04315	1	1	0	0	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS04315
gene-MSMEI_RS24330	6	22	5	11	0	2	1	3	0	1	2	2	host	gene-MSMEI_RS24330
gene-MSMEI_RS09415	0	7	0	1	0	1	0	0	0	0	0	0	host	gene-MSMEI_RS09415
gene-MSMEI_RS27855	20	36	9	24	1	1	1	1	2	6	2	0	host	gene-MSMEI_RS27855
gene-MSMEI_RS03880	27	30	3	14	2	5	5	3	0	0	0	1	host	gene-MSMEI_RS03880
gene-MSMEI_RS28300	31	29	9	27	6	15	1	14	0	1	4	2	host	pstS
gene-MSMEI_RS10025	0	2	1	1	0	0	0	0	0	1	0	0	host	gene-MSMEI_RS10025
gene-MSMEI_RS16320	3	7	0	6	0	5	0	0	0	1	0	2	host	gene-MSMEI_RS16320
gene-MSMEI_RS20650	5	1	0	0	1	2	1	0	0	0	0	0	host	gene-MSMEI_RS20650
gene-MSMEI_RS00600	4	3	2	12	6	5	0	0	0	0	0	1	host	gene-MSMEI_RS00600
gene-MSMEI_RS00170	63	88	30	64	1	17	5	12	8	5	4	7	host	gene-MSMEI_RS00170
gene-MSMEI_RS21590	2	1	0	2	2	1	0	0	0	0	0	0	host	gene-MSMEI_RS21590
gene-MSMEI_RS28595	1	6	3	6	0	1	1	1	0	0	0	1	host	gene-MSMEI_RS28595
gene-MSMEI_RS22060	5	2	0	3	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS22060
gene-MSMEI_RS06585	4	7	20	36	6	9	0	3	0	1	0	0	host	gene-MSMEI_RS06585
gene-MSMEI_RS04205	3	1	3	2	1	0	0	0	1	0	0	0	host	gene-MSMEI_RS04205
gene-MSMEI_RS22375	30	37	24	33	12	11	1	10	1	2	11	6	host	holA
gene-MSMEI_RS04045	2	7	6	5	1	6	0	1	0	0	0	0	host	gene-MSMEI_RS04045
gene-MSMEI_RS17835	75	64	31	31	3	9	1	2	2	4	0	0	host	gene-MSMEI_RS17835
gene-MSMEI_RS02210	4	5	0	4	0	0	0	0	1	0	1	0	host	gene-MSMEI_RS02210
gene-MSMEI_RS06305	0	1	0	5	1	0	0	0	0	0	0	0	host	gene-MSMEI_RS06305
gene-MSMEI_RS30240	8	10	0	1	0	0	0	1	0	0	0	0	host	dgoD
gene-MSMEI_RS33565	0	0	0	1	0	1	0	0	0	0	0	0	host	gene-MSMEI_RS33565
gene-MSMEI_RS10040	0	2	0	0	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS10040
gene-MSMEI_RS03785	8	9	3	34	11	13	2	1	0	0	1	0	host	gene-MSMEI_RS03785
gene-MSMEI_RS25255	0	1	0	0	0	0	0	1	0	0	0	0	host	gene-MSMEI_RS25255
gene-MSMEI_RS30280	15	15	7	19	1	7	2	3	0	0	0	0	host	gene-MSMEI_RS30280
gene-MSMEI_RS18055	3	3	0	2	1	0	1	2	0	0	0	2	host	gene-MSMEI_RS18055
gene-MSMEI_RS28395	2	2	2	0	0	3	0	1	1	0	0	1	host	gene-MSMEI_RS28395
gene-MSMEI_RS03450	19	17	6	5	0	2	2	3	0	0	1	0	host	gene-MSMEI_RS03450
gene-MSMEI_RS13550	38	50	221	173	22	54	0	3	0	0	2	2	host	gene-MSMEI_RS13550
gene-MSMEI_RS28930	0	0	0	0	0	0	0	0	0	0	0	0	host	gene-MSMEI_RS28930
gene-MSMEI_RS24890	27	29	3	23	3	5	1	4	1	1	3	2	host	gene-MSMEI_RS24890
gene-MSMEI_RS31700	2	6	0	0	0	0	0	2	0	3	0	1	host	gene-MSMEI_RS31700
gene-MSMEI_RS28135	2	6	0	0	0	0	1	1	0	0	0	1	host	gene-MSMEI_RS28135
gene-MSMEI_RS17040	10	17	4	3	1	0	1	1	0	0	0	0	host	gene-MSMEI_RS17040
gene-MSMEI_RS23255	180	218	84	124	9	36	4	18	3	13	11	8	host	gene-MSMEI_RS23255
