	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	ClassThreshold	ClassMax
0	NC_002505.1	RefSeq	gene	372.0	806.0	.	-	.	gene-VC_RS00005	mioC	Gene	protein_coding	VC_RS00005	mioC	FMN-binding protein MioC	None	None
1	NC_002505.1	RefSeq	gene	816.0	2177.0	.	-	.	gene-VC_RS00010	mnmE	Gene	protein_coding	VC_RS00010	mnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	None	None
2	NC_002505.1	RefSeq	gene	2271.0	3896.0	.	-	.	gene-VC_RS00015	yidC	Gene	protein_coding	VC_RS00015	yidC	membrane protein insertase YidC	None	None
3	NC_002505.1	RefSeq	gene	3899.0	4156.0	.	-	.	gene-VC_RS00020	yidD	Gene	protein_coding	VC_RS00020	yidD	membrane protein insertion efficiency factor YidD	None	None
4	NC_002505.1	RefSeq	gene	4123.0	4446.0	.	-	.	gene-VC_RS00025	rnpA	Gene	protein_coding	VC_RS00025	rnpA	ribonuclease P protein component	None	None
5	NC_002505.1	RefSeq	gene	4492.0	4629.0	.	-	.	gene-VC_RS00030	rpmH	Gene	protein_coding	VC_RS00030	rpmH	50S ribosomal protein L34	None	None
6	NC_002505.1	RefSeq	gene	4871.0	5608.0	.	-	.	gene-VC_RS00035	VC_RS00035	Gene	protein_coding	VC_RS00035	gene-VC_RS00035	amino acid ABC transporter ATP-binding protein	None	None
7	NC_002505.1	RefSeq	gene	5605.0	6276.0	.	-	.	gene-VC_RS00040	VC_RS00040	Gene	protein_coding	VC_RS00040	gene-VC_RS00040	amino acid ABC transporter permease	None	None
8	NC_002505.1	RefSeq	gene	6354.0	7100.0	.	-	.	gene-VC_RS00045	VC_RS00045	Gene	protein_coding	VC_RS00045	gene-VC_RS00045	amino acid ABC transporter substrate-binding protein	None	None
9	NC_002505.1	RefSeq	gene	7412.0	8815.0	.	+	.	gene-VC_RS00050	dnaA	Gene	protein_coding	VC_RS00050	dnaA	chromosomal replication initiator protein DnaA	None	None
10	NC_002505.1	RefSeq	gene	8873.0	9973.0	.	+	.	gene-VC_RS00055	dnaN	Gene	protein_coding	VC_RS00055	dnaN	DNA polymerase III subunit beta	None	None
11	NC_002505.1	RefSeq	gene	9991.0	11082.0	.	+	.	gene-VC_RS00060	recF	Gene	protein_coding	VC_RS00060	recF	DNA replication/repair protein RecF	None	None
12	NC_002505.1	RefSeq	gene	11103.0	13520.0	.	+	.	gene-VC_RS00065	gyrB	Gene	protein_coding	VC_RS00065	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	None	None
13	NC_002505.1	RefSeq	gene	13945.0	14367.0	.	+	.	gene-VC_RS00070	VC_RS00070	Gene	protein_coding	VC_RS00070	gene-VC_RS00070	hypothetical protein	None	None
14	NC_002505.1	RefSeq	gene	14769.0	15206.0	.	+	.	gene-VC_RS00075	VC_RS00075	Gene	protein_coding	VC_RS00075	gene-VC_RS00075	Hsp20 family protein	None	None
