# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR17196399_sorted.bam" "SRR17196386_sorted.bam" "SRR17196390_sorted.bam" "SRR17196395_sorted.bam" "SRR17196401_sorted.bam" "SRR17196404_sorted.bam" "SRR17196406_sorted.bam" "SRR17196396_sorted.bam" "SRR17196393_sorted.bam" "SRR17196391_sorted.bam" "SRR17196389_sorted.bam" "SRR17196398_sorted.bam" "SRR17196400_sorted.bam" "SRR17196405_sorted.bam" "SRR17196397_sorted.bam" "SRR17196402_sorted.bam" "SRR17196388_sorted.bam" "SRR17196387_sorted.bam" "SRR17196392_sorted.bam" "SRR17196403_sorted.bam" "SRR17196394_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR17196399_sorted.bam	SRR17196386_sorted.bam	SRR17196390_sorted.bam	SRR17196395_sorted.bam	SRR17196401_sorted.bam	SRR17196404_sorted.bam	SRR17196406_sorted.bam	SRR17196396_sorted.bam	SRR17196393_sorted.bam	SRR17196391_sorted.bam	SRR17196389_sorted.bam	SRR17196398_sorted.bam	SRR17196400_sorted.bam	SRR17196405_sorted.bam	SRR17196397_sorted.bam	SRR17196402_sorted.bam	SRR17196388_sorted.bam	SRR17196387_sorted.bam	SRR17196392_sorted.bam	SRR17196403_sorted.bam	SRR17196394_sorted.bam
gene-NWMN_RS00005	NC_009641.1	517	1878	+	1362	881	1064	1818	805	377	400	165	849	1302	1007	1024	405	269	283	524	378	1189	1346	1295	251	919
gene-NWMN_RS00010	NC_009641.1	2163	3296	+	1134	1091	1600	2074	1040	428	424	209	1173	1606	1145	1263	555	337	359	684	440	1396	1634	1527	323	1247
gene-NWMN_RS00015	NC_009641.1	3677	3922	+	246	214	287	384	279	112	92	60	272	263	350	336	150	131	89	271	127	440	263	312	116	315
gene-NWMN_RS00020	NC_009641.1	3919	5031	+	1113	942	965	1654	980	463	384	232	1189	1178	1369	1144	531	411	363	928	523	1674	828	1086	349	1258
gene-NWMN_RS00025	NC_009641.1	5041	6975	+	1935	1452	1028	2660	1798	832	819	543	2390	2126	2857	1914	969	870	737	1615	1084	3527	789	1883	830	2224
gene-NWMN_RS00030	NC_009641.1	7012	9675	+	2664	2529	2547	5329	3977	1597	1637	940	5287	4326	5135	4712	2027	1719	1340	3500	1784	6787	2457	4133	1445	4541
gene-NWMN_RS00035	NC_009641.1	9762	10574	-	813	751	1218	907	777	575	582	229	631	671	846	1149	502	318	332	555	347	1257	799	1039	390	997
gene-NWMN_RS00040	NC_009641.1	10900	12414	+	1515	63	75	66	65	57	83	41	66	58	75	101	43	58	23	87	34	130	44	99	70	67
gene-NWMN_RS00045	NC_009641.1	12793	14079	+	1287	1875	1479	1717	1501	629	378	220	1284	971	1365	1489	1130	686	380	1495	700	1514	1358	1742	438	1503
gene-NWMN_RS00050	NC_009641.1	14729	15424	+	696	51	96	101	63	33	27	11	57	50	73	68	29	21	12	44	23	79	92	56	17	54
