# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR3110979_sorted.bam" "SRR3110978_sorted.bam" "SRR3110971_sorted.bam" "SRR3110976_sorted.bam" "SRR3110977_sorted.bam" "SRR3110975_sorted.bam" "SRR3110972_sorted.bam" "SRR3110970_sorted.bam" "SRR3110973_sorted.bam" "SRR3110974_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR3110979_sorted.bam	SRR3110978_sorted.bam	SRR3110971_sorted.bam	SRR3110976_sorted.bam	SRR3110977_sorted.bam	SRR3110975_sorted.bam	SRR3110972_sorted.bam	SRR3110970_sorted.bam	SRR3110973_sorted.bam	SRR3110974_sorted.bam
gene-Y11_RS00005	NC_017564.1	13	720	+	708	942	1014	1126	1027	1287	896	1260	2219	1088	999
gene-Y11_RS00010	NC_017564.1	768	1121	-	354	895	1079	1602	1332	1548	1274	1803	2681	2071	2085
gene-Y11_RS00015	NC_017564.1	1133	2659	-	1527	3419	3304	5608	4173	4676	4367	6104	9865	6212	6030
gene-Y11_RS00020	NC_017564.1	3012	4076	+	1065	2199	2200	928	2031	2447	1959	1232	1273	1901	2277
gene-Y11_RS00025	NC_017564.1	4441	4911	-	471	4178	4353	8626	5700	5432	6333	8221	11799	9405	8311
gene-Y11_RS00030	NC_017564.1	4914	5483	-	570	3755	4237	8806	5016	5149	5294	8622	14817	8066	7322
gene-Y11_RS00035	NC_017564.1	5648	6529	+	882	13271	15046	20890	20454	19796	21102	26238	26477	25923	28315
gene-Y11_RS00040	NC_017564.1	6546	7604	+	1059	16682	18531	22173	25240	26602	27117	27028	24726	32998	36806
gene-Y11_RS00045	NC_017564.1	7817	8530	+	714	2072	2349	4108	3044	2800	3479	4548	6023	5102	4979
gene-Y11_RS00050	NC_017564.1	8732	9601	+	870	552	556	424	692	660	538	605	662	673	894
gene-Y11_RS00055	NC_017564.1	9739	10191	+	453	388	461	478	392	513	474	476	724	453	606
gene-Y11_RS00060	NC_017564.1	10193	12199	+	2007	683	705	936	812	957	752	990	1503	909	1133
gene-Y11_RS22610	NC_017564.1	12323	12499	-	177	134	128	51	126	211	143	82	115	124	149
gene-Y11_RS00070	NC_017564.1	12645	13055	-	411	565	565	189	597	611	551	294	390	499	654
gene-Y11_RS00075	NC_017564.1	13328	13963	+	636	325	343	172	359	368	344	278	325	278	414
gene-Y11_RS23425	NC_017564.1	14065	14214	+	150	117	141	70	126	210	145	118	126	113	126
gene-Y11_RS23900	NC_017564.1	14216	14665	+	450	374	316	195	356	473	333	250	308	335	368
gene-Y11_RS21270	NC_017564.1	14786	14968	+	183	314	290	165	299	353	317	210	287	335	426
gene-Y11_RS00110	NC_017564.1	17349	17885	+	537	7828	9778	13010	13340	12639	12907	15619	22532	16268	21569
gene-Y11_RS00125	NC_017564.1	19322	19513	-	192	987	1162	1230	1587	1637	1551	1777	1607	2213	2284
gene-Y11_RS00130	NC_017564.1	19548	20252	-	705	2518	2892	3651	3783	3984	4186	4698	4866	5347	5696
gene-Y11_RS00135	NC_017564.1	20255	21382	-	1128	2884	2858	4501	3630	3909	4293	5409	5137	5654	5776
gene-Y11_RS00140	NC_017564.1	21384	21806	-	423	780	864	1448	1268	1287	1179	1777	2231	1716	1747
gene-Y11_RS00145	NC_017564.1	21969	22442	-	474	509	607	304	563	628	461	374	1172	445	608
gene-Y11_RS00150	NC_017564.1	22902	24116	-	1215	611	862	205	573	811	546	287	587	446	677
gene-Y11_RS00155	NC_017564.1	24554	27685	-	3132	983	1368	848	1067	1388	1077	1004	1504	1057	1390
gene-Y11_RS00160	NC_017564.1	27895	28173	+	279	192	166	102	170	209	192	106	286	146	181
gene-Y11_RS00165	NC_017564.1	28212	28841	-	630	1091	1111	981	1302	1566	1174	996	1687	1217	1589
gene-Y11_RS00170	NC_017564.1	29346	29849	+	504	1511	1029	1690	1354	1278	977	1463	2239	1238	1370
gene-Y11_RS00175	NC_017564.1	29839	30105	+	267	1111	655	1155	650	702	763	1231	1164	1077	922
gene-Y11_RS00180	NC_017564.1	30102	32597	+	2496	4537	3839	6148	3950	4957	4496	6724	9283	6686	6080
gene-Y11_RS00185	NC_017564.1	32668	33135	+	468	491	563	860	625	835	796	891	1203	1024	1056
gene-Y11_RS00190	NC_017564.1	33163	33762	+	600	524	575	811	750	845	822	979	1292	1102	1181
gene-Y11_RS00195	NC_017564.1	33944	34519	+	576	510	595	439	603	680	547	527	1118	654	781
gene-Y11_RS00200	NC_017564.1	34740	37019	+	2280	2107	2401	3046	3035	3175	3360	3892	7364	4081	4574
gene-Y11_RS22630	NC_017564.1	38773	38883	+	111	269	309	66	326	257	283	109	186	224	237
gene-Y11_RS23370	NC_017564.1	38890	39270	-	381	225	341	97	318	290	291	146	215	254	230
gene-Y11_RS23375	NC_017564.1	39239	39631	-	393	325	408	139	396	341	294	189	335	309	383
gene-Y11_RS00220	NC_017564.1	39743	40201	-	459	373	421	290	274	284	273	274	668	301	332
gene-Y11_RS00225	NC_017564.1	40201	41142	-	942	880	886	1606	916	1010	884	1551	2502	1275	1558
gene-Y11_RS00230	NC_017564.1	41373	41798	+	426	2258	2578	1719	3248	2932	2367	1953	2494	2887	3370
gene-Y11_RS00235	NC_017564.1	41952	42365	-	414	5120	6305	9497	9694	9486	9496	9989	15571	13377	13844
gene-Y11_RS00240	NC_017564.1	42749	43360	+	612	961	1294	1169	1248	1503	1140	1207	1676	1584	1603
gene-Y11_RS00245	NC_017564.1	43536	44441	+	906	2056	2339	3045	2584	2676	2653	3190	4215	3665	3725
gene-Y11_RS00255	NC_017564.1	46069	46959	-	891	1148	1338	2125	1359	1642	1599	2293	4390	2621	2283
gene-Y11_RS00260	NC_017564.1	47042	47761	-	720	565	737	822	629	807	643	944	2691	1053	887
gene-Y11_RS00265	NC_017564.1	47987	48895	+	909	589	845	886	835	1027	935	1056	2580	1204	1297
gene-Y11_RS00270	NC_017564.1	48929	49393	+	465	364	377	426	345	574	412	562	852	533	620
gene-Y11_RS00275	NC_017564.1	49589	50467	+	879	612	658	657	676	816	592	639	1250	690	911
gene-Y11_RS00280	NC_017564.1	50822	52348	+	1527	781	1013	961	985	1162	1077	1142	3733	1254	1525
gene-Y11_RS00285	NC_017564.1	52866	53894	+	1029	4345	3513	4360	2970	3620	3279	4462	8152	4327	4269
gene-Y11_RS00290	NC_017564.1	53894	54730	+	837	2181	1891	2222	1703	2339	2074	2727	2567	2792	2662
gene-Y11_RS00295	NC_017564.1	54730	55605	+	876	2644	2117	2470	1940	2426	2190	3072	2356	3222	3149
gene-Y11_RS00300	NC_017564.1	55595	56686	+	1092	3885	2918	3103	2736	3301	2932	3658	3980	4483	4380
gene-Y11_RS00305	NC_017564.1	56906	57787	+	882	1704	1337	1735	1460	1645	1498	2108	2249	2049	1988
gene-Y11_RS00315	NC_017564.1	59840	61048	-	1209	460	561	198	443	545	342	264	576	398	584
gene-Y11_RS00325	NC_017564.1	61945	63312	+	1368	1742	1917	657	1897	2179	1741	1124	1180	1341	2039
gene-Y11_RS00330	NC_017564.1	63364	63873	-	510	18799	21176	25255	27974	27141	25903	25581	28414	37744	34489
gene-Y11_RS00335	NC_017564.1	63922	65649	-	1728	50948	54821	96903	70967	69069	77675	99934	116852	119517	111298
gene-Y11_RS00340	NC_017564.1	65697	65954	-	258	19664	19195	43403	24701	23928	30025	40269	40993	45778	39810
gene-Y11_RS00345	NC_017564.1	66406	67374	-	969	15694	14836	20990	17540	19045	19257	23282	38480	28143	27432
gene-Y11_RS00350	NC_017564.1	67564	68331	-	768	2027	1913	2029	2196	2393	2520	2417	2117	2836	2856
gene-Y11_RS00355	NC_017564.1	68551	69534	+	984	7854	8151	12135	9799	10664	10150	12092	10192	13611	13222
gene-Y11_RS00360	NC_017564.1	69610	71628	+	2019	4548	4776	7939	6423	6260	7127	9815	10413	9980	10121
gene-Y11_RS00365	NC_017564.1	71643	71858	+	216	926	1090	1116	1308	1240	1254	1675	2292	1719	1889
gene-Y11_RS00370	NC_017564.1	71934	72275	-	342	700	717	245	851	925	641	330	599	593	796
gene-Y11_RS00375	NC_017564.1	72432	72992	-	561	1218	1107	315	1174	1248	905	425	672	821	1200
gene-Y11_RS00380	NC_017564.1	73101	73176	-	76	445	511	343	449	506	497	402	310	651	688
gene-Y11_RS00390	NC_017564.1	73347	74762	-	1416	9939	10839	16659	14331	14970	15148	17200	18556	22208	21580
gene-Y11_RS00395	NC_017564.1	75024	75099	+	76	951	922	149	577	825	751	395	849	583	909
gene-Y11_RS00400	NC_017564.1	75153	75228	+	76	896	1015	192	656	1046	1062	451	954	672	1182
gene-Y11_RS00405	NC_017564.1	75268	75343	+	76	1548	1628	236	1212	1539	1349	545	844	870	1387
gene-Y11_RS00410	NC_017564.1	75370	75445	+	76	1658	1566	279	1405	1830	1344	556	767	962	1411
gene-Y11_RS00415	NC_017564.1	75633	76817	-	1185	13298	12493	27328	15659	15523	20824	25590	17948	26159	23257
gene-Y11_RS00420	NC_017564.1	77216	78445	+	1230	856	965	366	947	1140	764	536	1045	700	929
gene-Y11_RS00425	NC_017564.1	78496	78915	-	420	1986	2405	145	1819	2210	1059	246	447	502	1196
gene-Y11_RS00430	NC_017564.1	79086	80075	-	990	579	725	474	710	862	576	575	1343	750	808
gene-Y11_RS00435	NC_017564.1	80299	81960	+	1662	730	867	793	757	932	789	893	1679	944	1101
gene-Y11_RS00440	NC_017564.1	81932	82819	-	888	383	404	450	343	517	391	434	1030	503	467
gene-Y11_RS00445	NC_017564.1	82921	83397	+	477	291	304	126	328	407	271	176	325	225	340
gene-Y11_RS00450	NC_017564.1	83583	84554	+	972	1943	2379	3685	3020	2858	3006	4370	7077	4486	5026
gene-Y11_RS00455	NC_017564.1	84969	85988	-	1020	1503	1514	1572	1731	2036	1778	1870	2781	2057	2378
gene-Y11_RS00460	NC_017564.1	86186	87430	-	1245	520	684	184	505	642	377	232	592	417	429
gene-Y11_RS00465	NC_017564.1	87654	88394	-	741	248	323	348	275	392	252	286	605	316	346
gene-Y11_RS00470	NC_017564.1	88398	90098	-	1701	707	956	855	857	948	731	754	1305	871	944
gene-Y11_RS00475	NC_017564.1	90269	91516	-	1248	1008	1137	901	1159	1344	1114	1167	1848	1406	1566
gene-Y11_RS00480	NC_017564.1	91775	92290	+	516	489	537	579	682	604	598	571	999	666	760
gene-Y11_RS00485	NC_017564.1	92422	93657	+	1236	2114	2518	4852	2934	3088	3437	4763	6787	5271	5134
gene-Y11_RS00490	NC_017564.1	93826	94350	+	525	654	607	342	629	760	694	374	665	619	649
gene-Y11_RS22635	NC_017564.1	94426	94500	-	75	490	584	315	527	636	656	414	355	640	717
gene-Y11_RS00495	NC_017564.1	94766	95197	-	432	997	1297	938	1267	1333	1252	937	1304	1541	1659
gene-Y11_RS00500	NC_017564.1	96176	96706	+	531	223	451	280	198	364	267	301	682	310	393
gene-Y11_RS00505	NC_017564.1	96732	97370	-	639	380	529	928	448	710	591	877	1463	818	771
gene-Y11_RS00510	NC_017564.1	97479	98528	-	1050	707	715	2253	918	1061	1031	1893	3139	1699	1476
gene-Y11_RS00515	NC_017564.1	98525	100111	-	1587	2408	2446	5557	3148	3484	3748	5982	7380	5777	5347
gene-Y11_RS00520	NC_017564.1	100198	101214	-	1017	9775	11530	24582	16290	16751	21522	26667	35399	28853	30642
gene-Y11_RS00525	NC_017564.1	101526	102602	+	1077	870	942	2360	1127	1190	1269	2304	2718	2083	1654
gene-Y11_RS00530	NC_017564.1	102823	104166	-	1344	1644	1655	2820	2126	2383	2410	2935	2872	3360	3613
gene-Y11_RS00535	NC_017564.1	104482	106212	-	1731	4161	4241	6545	5954	6158	6788	7495	8418	8243	8457
gene-Y11_RS00540	NC_017564.1	106372	106962	-	591	610	778	643	802	766	748	841	909	1102	1111
gene-Y11_RS00545	NC_017564.1	107096	108634	+	1539	1692	1590	1177	1762	1848	1692	1600	1483	1819	2186
gene-Y11_RS00550	NC_017564.1	108946	110091	+	1146	1351	1491	2127	1573	1692	1575	2317	3872	2112	2304
gene-Y11_RS00555	NC_017564.1	110085	110891	+	807	976	1025	1684	1234	1381	1229	2020	2621	1821	1705
gene-Y11_RS00560	NC_017564.1	110892	111833	+	942	877	1001	1535	1136	1371	1130	1717	2270	1729	1607
gene-Y11_RS00565	NC_017564.1	111830	112465	+	636	458	612	935	600	727	686	1029	1544	1139	1084
gene-Y11_RS00570	NC_017564.1	112507	112650	-	144	272	273	113	258	304	192	144	248	203	236
gene-Y11_RS00590	NC_017564.1	114698	115729	-	1032	433	652	364	613	752	525	383	1122	544	595
gene-Y11_RS00595	NC_017564.1	116073	117530	+	1458	662	759	620	710	818	783	640	809	892	806
gene-Y11_RS00600	NC_017564.1	117546	118976	+	1431	1871	1919	1578	1925	2093	2231	1911	2435	2660	2903
gene-Y11_RS00605	NC_017564.1	119069	119380	-	312	1523	1327	1368	1652	1899	1926	1641	2516	2189	2385
gene-Y11_RS00610	NC_017564.1	119380	120006	-	627	3210	3356	3631	4056	4240	4448	4071	5345	5558	5828
gene-Y11_RS00615	NC_017564.1	120271	120609	-	339	830	846	281	824	959	683	333	436	580	723
gene-Y11_RS21300	NC_017564.1	120878	121156	-	279	624	656	112	889	882	696	191	243	449	715
gene-Y11_RS00625	NC_017564.1	121459	121533	-	75	191	346	40	208	355	255	131	115	269	648
gene-Y11_RS00630	NC_017564.1	121706	122617	-	912	391	566	128	391	589	329	160	478	305	367
gene-Y11_RS00635	NC_017564.1	123077	123703	+	627	1355	1452	1084	1556	1647	1461	1446	1357	1547	1934
gene-Y11_RS00640	NC_017564.1	123703	124362	+	660	1245	1287	970	1352	1421	1268	1354	1085	1632	1799
gene-Y11_RS00645	NC_017564.1	124533	125270	+	738	764	641	820	601	693	698	910	900	843	753
gene-Y11_RS00650	NC_017564.1	125267	125515	+	249	408	410	610	393	386	397	688	687	612	541
gene-Y11_RS00655	NC_017564.1	125512	126006	+	495	326	413	518	365	408	340	653	647	564	613
gene-Y11_RS00660	NC_017564.1	126003	127970	+	1968	1216	1398	1855	1563	1886	1801	2485	2333	2302	2560
gene-Y11_RS00665	NC_017564.1	127970	128536	+	567	536	592	595	618	749	830	943	681	809	1005
gene-Y11_RS00670	NC_017564.1	128533	129039	+	507	488	517	650	577	678	619	825	629	1011	1036
gene-Y11_RS00675	NC_017564.1	129039	130259	+	1221	9314	10235	4782	12033	12584	11220	7160	3405	11640	15700
gene-Y11_RS00680	NC_017564.1	130296	131060	+	765	7241	8336	3522	10285	10930	9364	5067	3131	8985	12820
gene-Y11_RS00685	NC_017564.1	131153	132424	-	1272	9320	8950	15503	12419	13587	14846	16355	16895	20163	18440
gene-Y11_RS00690	NC_017564.1	132855	133166	+	312	738	978	554	860	1142	1092	797	638	1290	1881
gene-Y11_RS00695	NC_017564.1	133475	134785	+	1311	1630	1793	1279	1466	2064	1426	1520	2315	1633	1834
gene-Y11_RS00700	NC_017564.1	134785	137022	+	2238	1602	1908	1553	1796	2050	1758	2092	2554	2028	2908
gene-Y11_RS00705	NC_017564.1	137405	137896	+	492	1919	1831	1353	1975	2361	1628	1684	1742	1752	2823
gene-Y11_RS00710	NC_017564.1	138198	138728	-	531	888	1015	1559	1192	1261	1238	1422	2400	1597	1568
gene-Y11_RS00715	NC_017564.1	138935	139867	+	933	3300	3478	7398	3879	4428	5009	7632	9465	7969	7045
gene-Y11_RS00720	NC_017564.1	139944	141029	+	1086	2971	2949	6626	3627	3946	4233	6820	8415	6414	6153
gene-Y11_RS00725	NC_017564.1	141035	141862	+	828	1248	1276	2891	1769	1778	2046	3032	2847	2800	2825
gene-Y11_RS00730	NC_017564.1	141866	142672	+	807	1118	1217	2194	1501	1386	1785	2276	1855	2255	2177
gene-Y11_RS00735	NC_017564.1	142979	143521	+	543	1998	2201	3531	2672	2989	2723	3648	6198	4764	5475
gene-Y11_RS00740	NC_017564.1	143585	143866	+	282	2258	2805	4015	3159	3464	3264	4236	7790	5173	6401
gene-Y11_RS00745	NC_017564.1	144025	146088	-	2064	2164	2039	3223	2262	2854	2613	3510	4298	3542	3374
gene-Y11_RS00750	NC_017564.1	146260	147483	+	1224	11883	13195	32516	18464	19519	22085	35498	35421	36100	33937
gene-Y11_RS00760	NC_017564.1	148949	149644	-	696	796	835	1722	1006	922	1166	1650	2871	1539	1444
gene-Y11_RS00765	NC_017564.1	149847	151241	-	1395	448	691	188	657	787	512	281	671	480	613
gene-Y11_RS00770	NC_017564.1	151628	151930	-	303	112	154	85	140	170	171	87	171	163	177
gene-Y11_RS00775	NC_017564.1	151945	153327	-	1383	348	526	353	393	547	454	323	795	452	465
gene-Y11_RS00780	NC_017564.1	153344	154675	-	1332	627	938	457	963	960	745	563	1283	889	895
gene-Y11_RS00785	NC_017564.1	154688	155002	-	315	133	291	85	183	240	119	95	207	179	134
gene-Y11_RS00790	NC_017564.1	155354	156310	+	957	1549	1822	1657	2003	2152	1842	2088	2975	2342	2486
gene-Y11_RS00795	NC_017564.1	156584	157885	+	1302	776	955	949	982	1148	1076	1055	2241	1254	1396
gene-Y11_RS00800	NC_017564.1	158001	159134	+	1134	874	1095	1184	935	1142	827	1093	1552	1240	1315
gene-Y11_RS00805	NC_017564.1	159201	160238	-	1038	713	622	898	802	792	632	759	1371	893	942
gene-Y11_RS00810	NC_017564.1	160541	160894	+	354	381	335	398	367	416	290	402	554	451	439
gene-Y11_RS00815	NC_017564.1	160945	163005	+	2061	622	621	758	653	832	680	859	970	834	962
gene-Y11_RS00820	NC_017564.1	163002	163727	+	726	435	440	519	436	536	466	643	748	634	657
gene-Y11_RS00825	NC_017564.1	163724	164224	+	501	303	357	264	289	412	318	336	471	342	373
gene-Y11_RS00830	NC_017564.1	164281	165738	-	1458	472	520	698	528	612	555	724	1904	743	755
gene-Y11_RS23380	NC_017564.1	165745	165891	+	147	87	177	44	132	137	77	68	158	109	87
gene-Y11_RS00835	NC_017564.1	165920	166963	+	1044	356	625	253	526	613	396	270	563	357	587
gene-Y11_RS00840	NC_017564.1	166973	167854	-	882	393	456	411	554	520	469	414	588	482	669
gene-Y11_RS00845	NC_017564.1	168027	168812	+	786	878	850	867	927	1081	985	979	2098	1110	1187
gene-Y11_RS00850	NC_017564.1	169031	170158	+	1128	8232	8728	9458	10847	11788	11879	10867	9563	12881	15833
gene-Y11_RS00855	NC_017564.1	170430	171440	+	1011	5367	5073	7190	6749	6671	7699	8430	7295	8966	9493
gene-Y11_RS00860	NC_017564.1	171440	172282	+	843	4112	3614	5851	5235	4929	5921	6595	5551	7405	7433
gene-Y11_RS00865	NC_017564.1	172414	173076	+	663	4740	5466	6754	6400	6636	7582	7986	5511	9575	9858
gene-Y11_RS00870	NC_017564.1	173307	174218	+	912	10905	12945	15947	16615	16793	16133	20094	23105	22549	25294
gene-Y11_RS00875	NC_017564.1	174454	175722	+	1269	4278	4702	8098	5911	6338	6135	9474	10389	8955	9345
gene-Y11_RS00880	NC_017564.1	175762	176481	+	720	1627	1663	4237	2453	2782	2876	4427	5022	4361	4333
gene-Y11_RS00885	NC_017564.1	176787	177296	+	510	1820	1617	2366	1734	2082	2046	2496	2734	2878	2654
gene-Y11_RS00890	NC_017564.1	177309	178826	+	1518	2228	2064	4147	2765	2685	3241	4402	5346	4586	4330
gene-Y11_RS00895	NC_017564.1	179156	179728	+	573	390	421	327	441	493	367	346	576	384	462
gene-Y11_RS00900	NC_017564.1	180037	180819	+	783	600	618	753	669	626	616	828	1475	900	830
gene-Y11_RS00905	NC_017564.1	180924	181610	+	687	274	360	217	377	439	301	254	403	345	383
gene-Y11_RS00910	NC_017564.1	181607	182323	+	717	345	485	486	455	543	485	482	858	516	642
gene-Y11_RS00915	NC_017564.1	182359	183156	+	798	510	884	830	715	826	683	802	1371	830	941
gene-Y11_RS00920	NC_017564.1	183351	188234	+	4884	2701	3408	757	3167	3261	2108	1020	2254	1807	2485
gene-Y11_RS00925	NC_017564.1	188185	189678	+	1494	772	1206	254	808	947	567	390	854	556	697
gene-Y11_RS00930	NC_017564.1	189749	190657	-	909	854	966	554	1102	1117	921	847	2090	945	1339
gene-Y11_RS00935	NC_017564.1	191166	191858	+	693	407	450	256	484	534	405	343	552	401	528
gene-Y11_RS00940	NC_017564.1	192095	192649	+	555	2499	3059	3160	3623	3554	3690	3800	4618	4439	4985
gene-Y11_RS00945	NC_017564.1	192721	193269	+	549	2160	2426	2710	2695	2445	2882	3471	5224	3556	4255
gene-Y11_RS22640	NC_017564.1	193216	193350	-	135	1021	931	953	1105	1014	1301	1184	1667	1268	1561
gene-Y11_RS00955	NC_017564.1	194852	196108	-	1257	1068	1180	680	1177	1555	1194	864	1575	1412	1442
gene-Y11_RS00960	NC_017564.1	196121	196408	-	288	213	226	159	235	329	309	235	470	267	320
gene-Y11_RS00965	NC_017564.1	196451	196894	-	444	279	229	180	327	315	334	220	425	299	306
gene-Y11_RS00970	NC_017564.1	197119	198144	+	1026	1416	1543	1159	1850	1865	1712	1247	1678	1899	2223
gene-Y11_RS00975	NC_017564.1	198725	200863	-	2139	34785	32092	52231	42983	48313	54439	56945	60939	68195	69862
gene-Y11_RS00980	NC_017564.1	201159	202361	-	1203	27784	26838	47605	35638	37844	43898	49823	46598	58141	57380
gene-Y11_RS00985	NC_017564.1	202794	203249	+	456	1670	1378	1415	1749	1790	1659	1676	1492	2024	1986
gene-Y11_RS00990	NC_017564.1	203418	203912	+	495	2167	1986	2579	2415	2350	2608	3054	3648	3531	3576
gene-Y11_RS00995	NC_017564.1	203959	204615	+	657	2845	3267	3035	3888	3951	3617	3670	3984	4377	5335
gene-Y11_RS01000	NC_017564.1	204806	205603	-	798	1015	883	428	877	1161	837	514	800	750	1062
gene-Y11_RS01005	NC_017564.1	205966	207801	+	1836	2434	2444	1935	2572	2836	2381	2459	3075	2716	3072
gene-Y11_RS01010	NC_017564.1	208033	208626	-	594	1527	1705	2676	1913	2057	2111	2866	4225	3234	2852
gene-Y11_RS01015	NC_017564.1	209368	210582	-	1215	3103	3045	6270	3549	4273	4310	6151	7881	6591	6034
gene-Y11_RS01020	NC_017564.1	211446	212378	+	933	1195	1193	1099	1260	1684	1304	1157	1392	1572	1572
gene-Y11_RS01025	NC_017564.1	213055	213546	+	492	5029	4662	11087	5418	5972	7186	11207	11856	11652	10894
gene-Y11_RS01030	NC_017564.1	213668	214345	+	678	6962	6463	16494	8773	9272	11162	17149	18356	16583	16093
gene-Y11_RS01035	NC_017564.1	214485	216281	+	1797	23966	23021	51416	31824	32795	40297	57152	61461	59624	56195
gene-Y11_RS01045	NC_017564.1	216844	218211	+	1368	14695	14107	31665	19793	20973	26762	35314	34444	41427	36911
gene-Y11_RS01050	NC_017564.1	218439	221183	+	2745	14647	14482	30575	19769	22199	26748	35503	35263	37343	38012
gene-Y11_RS01055	NC_017564.1	221180	222157	+	978	6169	5924	11573	7870	9153	11165	14327	17038	15122	15623
gene-Y11_RS01060	NC_017564.1	222172	222714	+	543	5740	5239	10159	7292	8318	9827	13329	15438	13162	13710
gene-Y11_RS01065	NC_017564.1	222727	223272	+	546	7617	7575	12511	10134	10697	13441	15960	16816	17195	17518
gene-Y11_RS01070	NC_017564.1	223269	223571	+	303	2982	3170	5477	4363	4510	5808	7302	8449	7652	8333
gene-Y11_RS01075	NC_017564.1	223568	225412	+	1845	10709	11004	16635	13913	16309	18522	21400	21766	21861	24082
gene-Y11_RS01080	NC_017564.1	225431	226969	+	1539	8103	7848	11899	9950	11862	13372	14201	14372	15819	16750
gene-Y11_RS01085	NC_017564.1	226976	228433	+	1458	6882	6243	7952	7539	9742	10149	9303	8575	11498	12198
gene-Y11_RS01090	NC_017564.1	228637	229458	+	822	491	471	147	500	527	344	204	473	346	441
gene-Y11_RS01095	NC_017564.1	229602	230093	+	492	865	795	1146	875	1034	861	1136	910	1182	1246
gene-Y11_RS01100	NC_017564.1	230890	231357	-	468	236	335	172	262	303	189	181	343	257	346
gene-Y11_RS01105	NC_017564.1	231398	231928	-	531	206	285	216	231	241	217	173	387	229	202
gene-Y11_RS01110	NC_017564.1	232141	232905	-	765	307	384	233	317	440	229	249	611	352	296
