	seq_id	source	type	start	end	phase	strand	score	ID	Name	gbkey	gene_biotype	locus_tag	gene	product	ClassThreshold	ClassMax
0	U00096.3	Genbank	gene	190.0	255.0	.	+	.	gene-b0001	thrL	Gene	protein_coding	b0001	thrL	thr operon leader peptide	None	None
1	U00096.3	Genbank	gene	337.0	2799.0	.	+	.	gene-b0002	thrA	Gene	protein_coding	b0002	thrA	fused aspartate kinase/homoserine dehydrogenase 1	None	None
2	U00096.3	Genbank	gene	2801.0	3733.0	.	+	.	gene-b0003	thrB	Gene	protein_coding	b0003	thrB	homoserine kinase	None	None
3	U00096.3	Genbank	gene	3734.0	5020.0	.	+	.	gene-b0004	thrC	Gene	protein_coding	b0004	thrC	threonine synthase	None	None
4	U00096.3	Genbank	gene	5234.0	5530.0	.	+	.	gene-b0005	yaaX	Gene	protein_coding	b0005	yaaX	DUF2502 domain-containing protein YaaX	None	None
5	U00096.3	Genbank	gene	5683.0	6459.0	.	-	.	gene-b0006	yaaA	Gene	protein_coding	b0006	yaaA	DNA binding and peroxide stress response protein YaaA	None	None
6	U00096.3	Genbank	gene	6529.0	7959.0	.	-	.	gene-b0007	yaaJ	Gene	protein_coding	b0007	yaaJ	putative transporter YaaJ	None	None
7	U00096.3	Genbank	gene	8238.0	9191.0	.	+	.	gene-b0008	talB	Gene	protein_coding	b0008	talB	transaldolase B	None	None
8	U00096.3	Genbank	gene	9306.0	9893.0	.	+	.	gene-b0009	mog	Gene	protein_coding	b0009	mog	molybdopterin adenylyltransferase	None	None
9	U00096.3	Genbank	gene	9928.0	10494.0	.	-	.	gene-b0010	satP	Gene	protein_coding	b0010	satP	acetate/succinate:H(+) symporter	None	None
10	U00096.3	Genbank	gene	10643.0	11356.0	.	-	.	gene-b0011	yaaW	Gene	protein_coding	b0011	yaaW	putative enzyme-specific chaperone YaaW	None	None
11	U00096.3	Genbank	gene	10830.0	11315.0	.	+	.	gene-b0012	mbiA	Gene	protein_coding	b0012	mbiA	uncharacterized protein MbiA	None	None
12	U00096.3	Genbank	gene	11382.0	11786.0	.	-	.	gene-b0013	yaaI	Gene	protein_coding	b0013	yaaI	DUF2541 domain-containing protein YaaI	None	None
13	U00096.3	Genbank	gene	12163.0	14079.0	.	+	.	gene-b0014	dnaK	Gene	protein_coding	b0014	dnaK	chaperone protein DnaK	None	None
14	U00096.3	Genbank	gene	14168.0	15298.0	.	+	.	gene-b0015	dnaJ	Gene	protein_coding	b0015	dnaJ	chaperone protein DnaJ	None	None
15	U00096.3	Genbank	gene	15445.0	16557.0	.	+	.	gene-b0016	insL1	Gene	protein_coding	b0016	insL1	IS186/IS421 family transposase	None	None
