# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR9951170_sorted.bam" "SRR9951163_sorted.bam" "SRR9951173_sorted.bam" "SRR9951167_sorted.bam" "SRR9951164_sorted.bam" "SRR9951166_sorted.bam" "SRR9951171_sorted.bam" "SRR9951169_sorted.bam" "SRR9951168_sorted.bam" "SRR9951176_sorted.bam" "SRR9951174_sorted.bam" "SRR9951177_sorted.bam" "SRR9951172_sorted.bam" "SRR9951165_sorted.bam" "SRR9951175_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9951170_sorted.bam	SRR9951163_sorted.bam	SRR9951173_sorted.bam	SRR9951167_sorted.bam	SRR9951164_sorted.bam	SRR9951166_sorted.bam	SRR9951171_sorted.bam	SRR9951169_sorted.bam	SRR9951168_sorted.bam	SRR9951176_sorted.bam	SRR9951174_sorted.bam	SRR9951177_sorted.bam	SRR9951172_sorted.bam	SRR9951165_sorted.bam	SRR9951175_sorted.bam
gene-FTB24_00005	CP045224.1	658	795	+	138	4706	3230	2310	2878	3841	4970	4621	4676	5026	4089	3649	3176	3696	5799	3733
gene-FTB24_00010	CP045224.1	873	1217	+	345	5351	4330	3761	3750	4377	7110	4889	5209	6321	3959	5412	5000	4560	8775	4135
gene-FTB24_00015	CP045224.1	1249	1500	+	252	4305	3299	3342	2998	3391	5657	3742	4037	4971	2871	4382	4379	3490	7101	3107
gene-FTB24_00020	CP045224.1	1532	2239	+	708	11103	7769	7385	7201	8686	11789	9579	10509	10791	7692	10352	10149	8890	15134	7714
gene-FTB24_00025	CP045224.1	2208	2837	+	630	11339	7670	7329	6979	8862	11199	9823	10458	9002	7327	9641	10124	9014	14277	7773
gene-FTB24_00030	CP045224.1	2949	4328	+	1380	982	985	1938	1274	921	1434	1040	1154	2299	820	2045	1993	984	1179	969
gene-FTB24_00035	CP045224.1	4423	6318	+	1896	2311	2271	3727	3316	2091	3085	2409	2711	4288	1862	4038	3959	2234	2335	2133
gene-FTB24_00040	CP045224.1	6311	7030	+	720	1495	1238	1468	1643	1325	1682	1492	1502	2003	1161	1807	1738	1310	1437	1296
gene-FTB24_00045	CP045224.1	7193	7978	+	786	2054	1640	1876	2068	1825	1991	2039	2034	2441	1418	2047	2091	1813	1798	1604
gene-FTB24_00050	CP045224.1	8113	8886	+	774	431	419	627	622	409	523	426	539	897	299	599	626	396	436	370
gene-FTB24_00055	CP045224.1	8888	9751	+	864	915	814	1220	1491	864	1303	819	1133	1718	656	1418	1197	916	932	711
gene-FTB24_00060	CP045224.1	9784	10926	+	1143	2215	1479	2325	3057	1837	2737	1796	2589	2879	1298	2744	2347	1887	2094	1422
gene-FTB24_00065	CP045224.1	11062	11637	-	576	24329	9368	6287	18903	18111	22448	18246	21106	13546	10403	11894	10069	16655	23209	11903
gene-FTB24_00070	CP045224.1	11897	13189	+	1293	3135	2136	2290	3613	2389	3568	2873	3381	2888	1749	2844	2584	2469	2583	1902
gene-FTB24_00075	CP045224.1	13294	13896	+	603	7008	4585	5389	8255	4648	10553	5413	7444	10857	3656	6895	6409	5422	8179	3876
gene-FTB24_00080	CP045224.1	13969	14232	+	264	4615	2976	3701	5805	3063	7307	3265	4768	7873	2318	4782	4048	3862	5506	2581
gene-FTB24_00085	CP045224.1	14247	14432	+	186	5314	3428	4674	6972	3359	8315	3709	5516	8754	2816	5812	5105	4567	6541	2978
gene-FTB24_00090	CP045224.1	14535	15731	+	1197	84034	38538	35874	77346	45332	85782	51565	78566	70614	36011	50159	50597	52447	83400	37406
