# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR7542856_sorted.bam" "SRR7542872_sorted.bam" "SRR7542865_sorted.bam" "SRR7542867_sorted.bam" "SRR7542866_sorted.bam" "SRR7542855_sorted.bam" "SRR7542868_sorted.bam" "SRR7542860_sorted.bam" "SRR7542858_sorted.bam" "SRR7542863_sorted.bam" "SRR7542861_sorted.bam" "SRR7542857_sorted.bam" "SRR7542869_sorted.bam" "SRR7542870_sorted.bam" "SRR7542864_sorted.bam" "SRR7542859_sorted.bam" "SRR7542862_sorted.bam" "SRR7542871_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR7542856_sorted.bam	SRR7542872_sorted.bam	SRR7542865_sorted.bam	SRR7542867_sorted.bam	SRR7542866_sorted.bam	SRR7542855_sorted.bam	SRR7542868_sorted.bam	SRR7542860_sorted.bam	SRR7542858_sorted.bam	SRR7542863_sorted.bam	SRR7542861_sorted.bam	SRR7542857_sorted.bam	SRR7542869_sorted.bam	SRR7542870_sorted.bam	SRR7542864_sorted.bam	SRR7542859_sorted.bam	SRR7542862_sorted.bam	SRR7542871_sorted.bam
gene-AUO97_RS00010	NZ_CP018664.1	1277	2113	+	837	61	9	20	9	4	71	15	83	73	80	39	63	9	3	25	70	58	3
gene-AUO97_RS00015	NZ_CP018664.1	2164	2769	+	606	22	4	11	8	5	35	16	28	45	29	20	36	5	2	17	28	20	1
gene-AUO97_RS00020	NZ_CP018664.1	3336	3662	+	327	510	23	91	91	49	583	104	893	1029	930	574	371	43	20	147	1003	1005	16
gene-AUO97_RS00025	NZ_CP018664.1	3659	4129	-	471	321	20	61	26	38	405	33	482	536	493	298	239	17	17	67	516	519	12
gene-AUO97_RS00030	NZ_CP018664.1	4293	4655	-	363	927	746	1866	1406	1039	1808	1644	575	1530	1346	1271	591	908	747	2437	1337	1918	530
gene-AUO97_RS00035	NZ_CP018664.1	4942	5586	-	645	262	23	259	76	62	361	63	164	457	569	442	138	32	36	382	384	669	28
gene-AUO97_RS00040	NZ_CP018664.1	5583	6182	-	600	314	38	402	83	117	514	100	228	704	796	631	202	66	67	562	573	1002	44
gene-AUO97_RS00045	NZ_CP018664.1	6157	6951	-	795	464	57	634	125	193	735	155	411	1130	1190	1014	280	97	93	803	856	1543	55
gene-AUO97_RS00050	NZ_CP018664.1	6939	7913	-	975	577	40	621	185	176	934	188	534	1236	1325	1098	312	82	56	773	965	1760	45
gene-AUO97_RS00055	NZ_CP018664.1	8212	8445	+	234	7138	101	8029	1132	2008	14782	1258	5851	14382	14509	13153	5487	350	175	10912	13912	16273	147
