Geneid	0_R1	0_R2	0_R3	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	30_R1	30_R2	30_R3	Entity	Symbol
gene-SERP0198	18	42	26	59	37	35	38	38	26	12	32	41	host	gene-SERP0198
gene-SERP0459	4	7	3	7	6	3	3	3	3	2	2	5	host	gene-SERP0459
gene-SERP1154	28	129	111	442	432	165	318	409	439	204	550	584	host	gene-SERP1154
gene-SERP0208	756	478	330	1376	382	615	506	259	388	169	240	309	host	gene-SERP0208
gene-SERP2485	19	17	9	25	12	12	23	26	15	7	25	36	host	kdpC
gene-SERP0061	642	292	313	743	346	376	404	436	388	136	198	190	host	gene-SERP0061
gene-SERP1550	6078	6019	5148	13977	9186	13103	8563	13201	9176	4546	5240	5303	host	gene-SERP1550
gene-SERP1710	340	1047	780	371	1017	804	1408	1175	762	982	2662	2014	host	atpG
gene-SERP1289	105	494	405	810	677	392	552	731	718	186	435	503	host	gene-SERP1289
gene-SERP0837	180	1013	763	609	1170	902	680	1216	1057	487	1408	1069	host	rbfA
gene-SERP1236	4364	5226	4160	16628	6075	6184	12290	7285	5355	4708	3754	4257	host	hemA
gene-SERP1766	4599	4434	4222	5111	3783	3159	3964	4789	2964	1830	3787	3315	host	gene-SERP1766
gene-SERP0483	380	770	1162	1565	1345	784	930	1256	1031	404	901	787	host	gene-SERP0483
gene-FDH45_gp103	0	0	0	108	1822	1	21063	236	2257	21031	8797	10049	phage	gene-FDH45_gp103
gene-SERP2431	506	376	334	433	433	255	1103	565	406	466	399	517	host	arsC-2
gene-SERP2159	180	678	583	551	641	609	281	773	605	92	259	263	host	gene-SERP2159
gene-SERP2168	4606	14315	10710	9831	13080	9957	8120	18061	9215	3519	8189	7268	host	mqo-2
gene-SERP0563	245	403	360	752	543	330	631	583	477	314	802	958	host	gene-SERP0563
gene-SERP2014	372	761	482	975	1201	742	648	1339	892	268	700	622	host	bcr
gene-SERP0111	57	92	77	262	229	62	347	346	221	271	337	336	host	gene-SERP0111
gene-SERP0765	203	103	83	1434	344	84	1126	313	467	994	822	1484	host	uraA
gene-SERP2434	78	50	37	71	64	59	85	106	96	47	145	158	host	gene-SERP2434
gene-SERP1759	944	1061	942	1851	1098	1241	1268	1478	959	579	655	719	host	gene-SERP1759
