# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR9280693_sorted.bam" "SRR9280697_sorted.bam" "SRR9280690_sorted.bam" "SRR9280699_sorted.bam" "SRR9280687_sorted.bam" "SRR9280692_sorted.bam" "SRR9280696_sorted.bam" "SRR9280694_sorted.bam" "SRR9280698_sorted.bam" "SRR9280688_sorted.bam" "SRR9280700_sorted.bam" "SRR9280695_sorted.bam" "SRR9280689_sorted.bam" "SRR9280686_sorted.bam" "SRR9280691_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9280693_sorted.bam	SRR9280697_sorted.bam	SRR9280690_sorted.bam	SRR9280699_sorted.bam	SRR9280687_sorted.bam	SRR9280692_sorted.bam	SRR9280696_sorted.bam	SRR9280694_sorted.bam	SRR9280698_sorted.bam	SRR9280688_sorted.bam	SRR9280700_sorted.bam	SRR9280695_sorted.bam	SRR9280689_sorted.bam	SRR9280686_sorted.bam	SRR9280691_sorted.bam
gene-SPD_RS00005	NC_008533.2	1	1362	+	1362	1154	681	1385	819	908	861	865	823	1214	872	1163	792	1013	589	863
gene-SPD_RS00010	NC_008533.2	1521	2657	+	1137	647	361	600	422	527	383	313	358	540	520	563	459	473	304	437
gene-SPD_RS00015	NC_008533.2	2722	2916	+	195	121	77	126	60	90	73	153	70	117	71	91	102	53	49	65
gene-SPD_RS00020	NC_008533.2	3000	4115	+	1116	416	427	452	370	431	293	548	255	546	441	523	543	264	294	292
gene-SPD_RS00025	NC_008533.2	4186	4755	+	570	187	173	186	115	140	144	263	113	171	143	181	244	114	95	110
gene-SPD_RS00030	NC_008533.2	4756	8265	+	3510	488	411	476	358	425	349	474	273	621	456	493	511	319	247	309
gene-SPD_RS00035	NC_008533.2	8323	8589	+	267	182	178	172	154	156	148	251	102	291	166	261	245	98	96	90
gene-SPD_RS00040	NC_008533.2	8582	8950	+	369	356	389	410	308	329	241	564	228	610	320	534	529	259	188	251
gene-SPD_RS11820	NC_008533.2	8955	9077	+	123	153	172	218	139	148	125	271	117	276	144	274	264	122	83	129
gene-SPD_RS00045	NC_008533.2	9070	10338	+	1269	765	715	874	865	892	555	808	566	1263	789	1059	965	532	484	499
gene-SPD_RS00050	NC_008533.2	10335	11612	+	1278	499	434	462	557	604	383	489	256	648	574	577	585	277	324	288
gene-SPD_RS00055	NC_008533.2	11616	12158	+	543	793	1112	798	997	1088	529	1519	422	1203	1066	968	1447	470	639	527
gene-SPD_RS00060	NC_008533.2	12174	14132	+	1959	1541	2515	2145	2599	3475	1067	2928	915	2626	3386	2639	3552	1193	1827	1334
gene-SPD_RS00065	NC_008533.2	14254	14733	+	480	28	124	103	19	26	28	212	26	143	25	104	132	39	23	28
gene-SPD_RS00070	NC_008533.2	14827	14898	+	72	3	6	1	1	3	1	14	4	9	5	3	5	4	6	2
gene-SPD_RS00075	NC_008533.2	15151	16696	+	1546	46	97	2191	112	778	1884	383	9030	320	5446	964	1043	22362	25156	40666
gene-SPD_RS00080	NC_008533.2	16748	16820	+	73	4	7	2	3	5	4	5	4	9	7	4	2	3	8	7
gene-SPD_RS00085	NC_008533.2	16945	19846	+	2902	464	608	21935	537	10382	11288	4440	62603	3565	31663	4241	5364	93908	167424	165288
gene-SPD_RS00090	NC_008533.2	19923	20038	+	116	1365	55	4082	30	1768	7289	1193	6895	2261	5189	330	293	4509	7313	10886
gene-SPD_RS00095	NC_008533.2	20044	20117	+	74	6	5	18	0	7	21	11	19	24	33	6	7	18	22	50
gene-SPD_RS00110	NC_008533.2	22168	22404	+	237	6	13	14	10	8	5	23	7	32	8	21	14	5	4	3
gene-SPD_RS00115	NC_008533.2	22635	23921	+	1287	550	998	804	831	754	343	1263	387	1552	686	1378	1342	519	606	556
gene-SPD_RS00120	NC_008533.2	24122	24589	+	468	19	35	28	21	28	14	43	15	73	27	38	25	15	20	15
gene-SPD_RS00125	NC_008533.2	24622	24719	+	98	1	10	4	5	9	3	11	5	21	9	9	8	3	4	3
gene-SPD_RS00130	NC_008533.2	24776	25219	+	444	66	119	150	116	137	82	216	54	303	156	253	173	86	98	75
gene-SPD_RS00135	NC_008533.2	25221	25736	+	516	62	139	143	101	161	68	228	41	332	146	240	185	66	105	83
gene-SPD_RS00140	NC_008533.2	25750	27111	+	1362	106	257	215	173	230	79	340	78	450	216	366	266	129	157	179
gene-SPD_RS00145	NC_008533.2	27184	27681	+	498	348	626	780	319	497	252	1088	216	1017	485	843	772	393	389	374
gene-SPD_RS00155	NC_008533.2	28634	29602	+	969	866	1424	1306	984	950	675	2348	548	2883	985	2531	1631	792	674	746
gene-SPD_RS00180	NC_008533.2	31306	33939	+	2634	712	1627	1191	1565	1771	480	1881	418	2488	1774	2232	2189	725	1172	728
gene-SPD_RS00185	NC_008533.2	34024	34461	+	438	128	344	401	214	267	90	617	79	871	286	671	374	175	166	198
gene-SPD_RS00190	NC_008533.2	34652	35662	-	1011	490	900	695	775	711	272	1364	305	1401	696	1179	1053	394	434	448
gene-SPD_RS00195	NC_008533.2	35811	36980	+	1170	196	382	369	321	369	130	607	145	615	395	481	441	204	239	230
gene-SPD_RS00200	NC_008533.2	36977	37747	+	771	141	222	250	222	330	105	374	102	373	293	280	316	151	190	161
gene-SPD_RS00205	NC_008533.2	37744	38736	+	993	229	339	349	323	512	176	531	158	573	479	420	462	244	321	207
gene-SPD_RS00210	NC_008533.2	38742	38975	+	234	82	94	136	107	150	63	150	63	180	181	150	164	79	119	81
gene-SPD_RS00220	NC_008533.2	39514	39744	+	231	73	70	103	81	166	50	126	39	137	156	123	120	63	84	68
gene-SPD_RS11825	NC_008533.2	39747	39872	+	126	54	64	54	60	140	33	107	24	94	120	93	96	33	55	39
gene-SPD_RS00225	NC_008533.2	40224	41500	-	1277	70	93	69	67	64	61	103	50	147	84	77	122	43	53	53
gene-SPD_RS00235	NC_008533.2	41902	44055	+	2154	33	79	50	48	66	27	93	27	194	59	89	50	24	50	28
gene-SPD_RS00240	NC_008533.2	44068	45417	+	1350	27	62	32	38	34	32	55	14	125	45	51	38	25	30	25
gene-SPD_RS00245	NC_008533.2	45587	46294	+	708	28	41	47	29	24	14	62	19	169	27	108	21	22	27	33
gene-SPD_RS11955	NC_008533.2	46296	46439	+	144	7	12	11	6	8	8	16	4	39	7	29	6	6	5	11
gene-SPD_RS00255	NC_008533.2	46496	50221	+	3726	59	94	136	88	91	43	112	47	389	90	261	50	72	69	82
gene-SPD_RS00260	NC_008533.2	50314	51756	+	1443	34	32	63	51	37	17	52	31	173	53	107	41	43	34	34
gene-SPD_RS00265	NC_008533.2	51793	52815	+	1023	42	28	55	40	37	26	39	25	129	54	99	21	54	32	41
gene-SPD_RS00270	NC_008533.2	52812	53357	+	546	14	15	16	16	13	14	15	9	65	14	49	12	15	15	17
gene-SPD_RS00275	NC_008533.2	53441	53950	+	510	10	15	20	20	16	12	23	17	43	14	40	13	17	11	16
gene-SPD_RS00280	NC_008533.2	53975	55522	+	1548	28	59	60	53	49	28	52	15	122	49	117	34	55	48	43
gene-SPD_RS00285	NC_008533.2	55644	56906	+	1263	60	95	162	129	115	56	152	51	441	110	301	75	100	94	134
gene-SPD_RS11425	NC_008533.2	57163	57279	+	117	6	16	20	12	8	3	12	4	40	9	30	4	9	7	6
gene-SPD_RS00300	NC_008533.2	57309	57797	+	489	21	51	63	56	46	13	49	20	132	40	128	17	32	28	34
gene-SPD_RS00305	NC_008533.2	57784	58875	+	1092	121	162	208	166	174	114	289	88	399	211	338	175	123	124	130
gene-SPD_RS00310	NC_008533.2	58885	59112	+	228	266	351	415	288	391	220	632	195	611	415	557	467	213	237	226
gene-SPD_RS00315	NC_008533.2	59175	60473	+	1299	312	496	559	421	497	190	719	178	1040	491	899	582	333	326	306
gene-SPD_RS00320	NC_008533.2	60528	64466	-	3939	330	7255	895	10785	7909	268	5591	180	9791	7673	10297	10336	598	5080	524
gene-SPD_RS00325	NC_008533.2	64781	65497	-	717	603	1365	905	1332	1141	371	1654	330	1904	1089	1836	1667	632	632	546
gene-SPD_RS00330	NC_008533.2	65845	67632	+	1788	352	614	384	1229	1161	276	636	204	1115	1222	1074	996	271	614	286
gene-SPD_RS00335	NC_008533.2	67629	68105	+	477	46	155	61	281	207	29	102	30	219	214	223	206	42	110	46
gene-SPD_RS00340	NC_008533.2	68133	69038	+	906	187	552	184	1165	892	113	327	116	653	785	754	770	212	416	143
gene-SPD_RS00345	NC_008533.2	69025	69840	+	816	140	466	155	1023	780	79	225	87	518	750	530	673	148	430	133
gene-SPD_RS00350	NC_008533.2	69847	70251	+	405	158	400	92	793	639	90	180	72	402	631	374	536	100	369	87
gene-SPD_RS00355	NC_008533.2	70550	71716	+	1167	183	554	208	1228	1081	116	282	128	525	1110	643	933	201	615	189
gene-SPD_RS00360	NC_008533.2	71832	72869	+	1038	73	183	80	434	409	46	95	46	150	443	201	298	49	222	69
gene-SPD_RS00365	NC_008533.2	73076	73930	+	855	13	45	25	37	30	20	51	16	83	35	70	39	17	26	24
gene-SPD_RS00370	NC_008533.2	74080	74337	+	258	28	33	58	33	31	20	47	20	72	34	54	53	19	16	22
gene-SPD_RS11430	NC_008533.2	74445	74741	-	297	6	8	6	6	4	3	9	4	10	5	11	8	2	6	1
gene-SPD_RS00385	NC_008533.2	74795	75028	-	234	3	10	7	5	3	1	4	3	11	0	8	4	2	2	3
gene-SPD_RS00395	NC_008533.2	75312	76076	+	765	168	308	340	196	255	127	589	124	569	171	502	360	184	178	210
gene-SPD_RS10990	NC_008533.2	76316	76468	-	153	4	9	11	9	12	1	18	1	18	5	12	12	5	4	3
gene-SPD_RS00410	NC_008533.2	76686	78065	+	1380	542	963	671	1015	1127	396	1212	353	1097	1127	944	1345	405	631	452
gene-SPD_RS00415	NC_008533.2	78079	78744	+	666	194	378	266	353	516	151	405	107	364	461	340	503	148	286	168
gene-SPD_RS00420	NC_008533.2	79054	79593	+	540	211	211	284	179	308	164	447	155	537	280	410	383	154	186	164
gene-SPD_RS00425	NC_008533.2	79660	80070	+	411	65	78	86	54	97	42	109	39	166	62	130	98	32	43	45
gene-SPD_RS00430	NC_008533.2	80186	83671	+	3486	26	59	37	41	43	13	62	16	124	32	62	53	23	20	28
gene-SPD_RS00435	NC_008533.2	83838	84536	+	699	183	492	313	352	371	123	768	104	883	320	698	569	178	254	160
gene-SPD_RS00440	NC_008533.2	84533	85585	+	1053	489	1223	821	1048	1082	345	1692	260	1852	1045	1713	1486	477	710	400
gene-SPD_RS00445	NC_008533.2	85780	86391	+	612	1694	2720	1625	2273	2551	1060	3839	1087	2743	2243	2588	3942	1279	1686	1211
gene-SPD_RS00460	NC_008533.2	87053	87313	+	261	104	254	149	217	250	100	299	53	290	263	251	324	94	158	90
gene-SPD_RS00465	NC_008533.2	87267	87488	+	222	19	81	58	57	68	20	70	18	98	63	73	83	34	39	27
gene-SPD_RS00470	NC_008533.2	87807	88736	+	930	382	2400	681	6133	4507	274	2062	178	5325	5132	6481	3647	531	2223	451
gene-SPD_RS00475	NC_008533.2	88750	89673	+	924	273	1972	496	6553	4408	193	1431	129	4211	4678	4800	2867	402	2151	365
gene-SPD_RS00485	NC_008533.2	89931	91406	+	1476	690	8502	1625	19766	14644	506	5127	302	11632	15529	13349	12797	1097	9076	1169
gene-SPD_RS00490	NC_008533.2	91678	92664	+	987	983	2637	1409	2097	1648	675	3736	490	3349	1545	3195	2999	959	1184	937
gene-SPD_RS00495	NC_008533.2	92786	93646	+	861	305	1418	641	2836	1901	238	1635	203	3340	1988	3282	1809	402	1169	351
gene-SPD_RS00500	NC_008533.2	93718	94782	-	1065	289	941	394	891	816	190	1047	207	1066	854	954	1192	256	495	242
gene-SPD_RS00505	NC_008533.2	94845	95756	-	912	325	903	441	1101	991	216	863	280	1092	949	976	1192	281	550	265
gene-SPD_RS00510	NC_008533.2	95749	96342	-	594	107	301	177	376	316	76	314	77	438	334	398	336	129	188	101
gene-SPD_RS00515	NC_008533.2	96329	96655	-	327	78	148	104	158	153	49	172	53	235	139	223	154	69	77	44
gene-SPD_RS00520	NC_008533.2	96794	97960	-	1167	50	99	65	102	89	41	126	21	175	66	111	88	41	54	29
gene-SPD_RS00525	NC_008533.2	98018	99175	+	1158	505	459	669	359	363	312	809	249	943	363	663	545	324	246	296
gene-SPD_RS00530	NC_008533.2	99217	101067	+	1851	603	777	861	592	691	362	976	358	1324	695	1181	935	527	425	525
gene-SPD_RS11435	NC_008533.2	101153	101413	-	261	26	93	63	43	85	29	113	26	96	47	107	132	29	41	34
gene-SPD_RS00540	NC_008533.2	101463	102095	-	633	144	379	253	302	353	98	470	81	526	307	547	499	143	237	155
gene-SPD_RS00545	NC_008533.2	102117	102989	-	873	86	229	138	179	159	51	260	46	317	139	242	265	77	98	70
gene-SPD_RS00550	NC_008533.2	102998	103669	-	672	100	206	146	148	146	60	267	47	301	140	272	260	77	85	82
gene-SPD_RS00555	NC_008533.2	103911	104414	+	504	336	1283	681	841	984	190	1839	171	1020	1053	1107	1616	311	649	310
